,Match_Id,Round_ID,Round_Number,Round_Time,Event_Type,Kill_ID,Traded_by_ID,Traded_for_ID,Bomb_Status,Resurrection_ID,Player_ID,Assists,Reference_Player_ID,Damage_Type,Weapon_ID,Ability
50,167897,2577047,6,21094,kill,20487370.0,,,,,1091.0,[],1023.0,weapon,4.0,
51,167897,2577047,6,27878,kill,20487371.0,,,,,1091.0,"[{'assistId': 7652524, 'assistantId': 4509, 'damage': 62}]",1012.0,weapon,4.0,
52,167897,2577047,6,33291,kill,20487372.0,,,,,1091.0,[],763.0,weapon,4.0,
53,167897,2577047,6,33682,kill,20487366.0,,,,,3599.0,[],1802.0,weapon,4.0,
54,167897,2577047,6,36531,kill,20487368.0,,,,,1597.0,[],4509.0,weapon,4.0,
55,167897,2577047,6,42897,kill,20487367.0,,,,,3599.0,"[{'assistId': 7652523, 'assistantId': 11412, 'damage': 86}]",1597.0,weapon,4.0,
56,167897,2577047,6,46763,defuse,,,,1888750.0,,11412.0,[],,,,
57,167897,2577048,7,0,start,,,,,,,[],,,,
58,167897,2577048,7,7071,kill,20487378.0,20487373.0,,,,763.0,"[{'assistId': 7652526, 'assistantId': 1023, 'damage': 55}]",1091.0,weapon,13.0,
59,167897,2577048,7,7458,kill,20487373.0,,20487378.0,,,3599.0,[],763.0,weapon,4.0,
60,167897,2577048,7,16077,kill,20487374.0,,,,,3599.0,[],1023.0,weapon,4.0,
61,167897,2577048,7,26420,kill,20487375.0,,,,,3599.0,[],1012.0,weapon,4.0,
62,167897,2577048,7,26519,kill,20487376.0,20487377.0,,,,3599.0,[],1802.0,weapon,4.0,
63,167897,2577048,7,26578,kill,20487377.0,,20487376.0,,,1597.0,"[{'assistId': 7652525, 'assistantId': 1023, 'damage': 55}]",3599.0,weapon,5.0,
64,167897,2577048,7,42579,kill,20487379.0,,,,,11412.0,[],1597.0,weapon,4.0,
65,167897,2577049,8,0,start,,,,,,,[],,,,
66,167897,2577049,8,7554,kill,20487384.0,,,,,1804.0,[],1597.0,weapon,4.0,
67,167897,2577049,8,21304,kill,20487385.0,,,,,1804.0,[],1802.0,weapon,4.0,
68,167897,2577049,8,33848,kill,20487380.0,,,,,1012.0,"[{'assistId': 7652527, 'assistantId': 1023, 'damage': 75}]",1804.0,weapon,6.0,
69,167897,2577049,8,44705,kill,20487382.0,20487386.0,,,,1023.0,[],1091.0,weapon,4.0,
70,167897,2577049,8,44866,kill,20487386.0,20487381.0,20487382.0,,,4509.0,"[{'assistId': 7652529, 'assistantId': 1091, 'damage': 143}]",1023.0,weapon,6.0,
71,167897,2577049,8,45651,kill,20487381.0,20487383.0,20487386.0,,,1012.0,[],4509.0,weapon,6.0,
72,167897,2577049,8,46049,kill,20487383.0,,20487381.0,,,3599.0,"[{'assistId': 7652528, 'assistantId': 11412, 'damage': 0}]",1012.0,weapon,4.0,
73,167897,2577049,8,58616,kill,20487387.0,,,,,11412.0,"[{'assistId': 7652530, 'assistantId': 3599, 'damage': 96}]",763.0,weapon,4.0,
74,167897,2577050,9,0,start,,,,,,,[],,,,
75,167897,2577050,9,33764,kill,20487392.0,,,,,4509.0,[],1012.0,weapon,6.0,
76,167897,2577050,9,38493,kill,20487388.0,,,,,1802.0,"[{'assistId': 7652531, 'assistantId': 1023, 'damage': 0}]",4509.0,weapon,13.0,
77,167897,2577050,9,38939,kill,20487393.0,,,,,11412.0,[],763.0,weapon,4.0,
78,167897,2577050,9,55673,kill,20487391.0,,,,,1804.0,[],1023.0,weapon,4.0,
79,167897,2577050,9,79797,kill,20487389.0,,,,,3599.0,[],1802.0,weapon,4.0,
80,167897,2577050,9,80436,kill,20487390.0,,,,,3599.0,[],1597.0,weapon,4.0,
81,167897,2577051,10,0,start,,,,,,,[],,,,
82,167897,2577051,10,56051,kill,20487395.0,,,,,3599.0,[],1802.0,weapon,4.0,
83,167897,2577051,10,59315,kill,20487394.0,,,,,1023.0,[],3599.0,weapon,6.0,
84,167897,2577051,10,67921,kill,20487398.0,,,,,1091.0,[],763.0,weapon,4.0,
85,167897,2577051,10,78861,kill,20487396.0,,,,,1804.0,[],1012.0,weapon,4.0,
86,167897,2577051,10,79646,plant,,,,1888751.0,,1023.0,[],,,,
87,167897,2577051,10,88302,kill,20487397.0,,,,,1804.0,[],1023.0,weapon,4.0,
88,167897,2577051,10,90561,kill,20487399.0,,,,,1091.0,[],1597.0,weapon,4.0,
89,167897,2577051,10,101958,defuse,,,,1888751.0,,4509.0,[],,,,
90,167897,2577052,11,0,start,,,,,,,[],,,,
91,167897,2577052,11,80629,kill,20487401.0,,,,,1804.0,"[{'assistId': 7652532, 'assistantId': 3599, 'damage': 40}]",1023.0,ability,,Molly
92,167897,2577052,11,86306,kill,20487404.0,,,,,11412.0,[],1012.0,weapon,4.0,
93,167897,2577052,11,87818,kill,20487400.0,,,,,1597.0,[],1091.0,weapon,19.0,
94,167897,2577052,11,88284,kill,20487402.0,,,,,1804.0,[],763.0,weapon,4.0,
95,167897,2577052,11,91169,kill,20487405.0,,,,,11412.0,"[{'assistId': 7652533, 'assistantId': 1091, 'damage': 80}]",1597.0,weapon,4.0,
96,167897,2577052,11,99797,kill,20487403.0,,,,,4509.0,[],1802.0,weapon,15.0,
97,167897,2577053,12,0,start,,,,,,,[],,,,
98,167897,2577053,12,8389,kill,20487412.0,,,,,4509.0,[],763.0,weapon,15.0,
99,167897,2577053,12,19266,kill,20487406.0,,,,,1012.0,[],11412.0,weapon,6.0,
100,167897,2577053,12,27853,kill,20487411.0,,,,,1804.0,[],1012.0,weapon,4.0,
101,167897,2577053,12,29405,kill,20487407.0,,,,,1023.0,"[{'assistId': 7652534, 'assistantId': 1597, 'damage': 95}]",3599.0,weapon,6.0,
102,167897,2577053,12,41245,kill,20487414.0,20487408.0,,,,1091.0,"[{'assistId': 7652540, 'assistantId': 4509, 'damage': 55}]",1023.0,weapon,4.0,
103,167897,2577053,12,42046,kill,20487408.0,,20487414.0,,,1597.0,[],1091.0,weapon,4.0,
104,167897,2577053,12,49338,kill,20487413.0,,,,,4509.0,"[{'assistId': 7652539, 'assistantId': 1804, 'damage': 0}, {'assistId': 7652538, 'assistantId': 1091, 'damage': 0}]",1802.0,weapon,14.0,
