,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
75,Bind,2577049,8,4509,2,116,6,2.0,4400,300,5400,False,True
76,Bind,2577049,8,1091,13,143,4,2.0,2350,3900,4850,False,True
77,Bind,2577049,8,3599,6,336,4,2.0,100,4500,4500,True,True
78,Bind,2577049,8,11412,21,149,4,2.0,6250,0,4450,True,True
79,Bind,2577049,8,1804,8,604,4,2.0,4500,450,4650,False,True
80,Bind,2577050,9,763,2,0,19,1.0,1400,2000,2200,False,False
81,Bind,2577050,9,1012,6,0,13,1.0,1650,1800,1800,False,False
82,Bind,2577050,9,1023,21,80,13,1.0,1750,1750,1750,False,True
83,Bind,2577050,9,1802,8,300,13,,1850,1250,1550,False,True
84,Bind,2577050,9,1597,19,0,19,1.0,1250,1750,2200,False,False
85,Bind,2577050,9,4509,2,310,6,2.0,3000,4600,4600,False,True
86,Bind,2577050,9,1091,13,0,4,2.0,3650,4600,4850,True,True
87,Bind,2577050,9,3599,6,400,4,2.0,2700,600,4500,True,True
88,Bind,2577050,9,11412,21,255,4,2.0,4550,1550,4450,True,True
89,Bind,2577050,9,1804,8,235,4,2.0,3550,4350,4650,True,True
90,Bind,2577051,10,763,2,0,6,2.0,200,4100,4600,False,False
91,Bind,2577051,10,1012,6,0,6,2.0,150,4400,4800,False,False
92,Bind,2577051,10,1023,21,260,6,2.0,200,4450,4450,False,True
93,Bind,2577051,10,1802,8,40,4,2.0,650,4300,4650,False,False
94,Bind,2577051,10,1597,19,40,4,2.0,0,4150,4600,False,False
95,Bind,2577051,10,4509,2,0,15,2.0,4700,6200,6700,True,True
96,Bind,2577051,10,1091,13,550,4,2.0,6100,550,5650,True,True
97,Bind,2577051,10,3599,6,300,4,2.0,5500,600,4500,False,True
98,Bind,2577051,10,11412,21,0,4,2.0,2500,550,4450,True,True
99,Bind,2577051,10,1804,8,550,4,2.0,5400,1350,5450,True,True
100,Bind,2577052,11,763,2,135,19,1.0,1200,2200,2200,False,False
101,Bind,2577052,11,1012,6,0,19,1.0,1450,1900,2100,False,False
102,Bind,2577052,11,1023,21,0,16,1.0,650,2950,3200,False,False
103,Bind,2577052,11,1802,8,0,16,1.0,1200,2650,3400,False,False
104,Bind,2577052,11,1597,19,326,19,1.0,1200,2000,2200,False,True
105,Bind,2577052,11,4509,2,195,15,2.0,7200,500,6700,True,True
106,Bind,2577052,11,1091,13,80,4,2.0,7450,1550,5650,False,True
